SUPPLY VOLTAGE (V),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FREQUENCY (HZ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUILD:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LABVIEW SOFTWARE VERSION:,2.39.20.130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMPUTER NAME:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMPUTER IP ADDRESS:,10.2.0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMMENTS,LZ600262C FHR 50S PV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LOAD RUN NUMBER,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMBIENT TEMPERATURE (F):,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HEATING MODE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Equipment Description,Manufacturer,Model Number,Calibration ID,Accuracy,Last Calibrated,Calibration Due,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAS METER,RITTER,TG10/4-500 mbar,0.54J.D8B,±1% of reading,2/6/2024,2/6/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAS TEMPERATURE,TC TYPE K,MW100-SCPSS-TMQSS Series,0.54J.D8B-TC-01,Â± 1.35 Â°F,2/27/2024,2/27/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAS PRESSURE,TRAFAG,8854.21,0.54J.D8B-PG_01,Â±0.75% of reading,2/27/2024,2/27/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DATA LOGGER,YOKOGAWA,MW100-SCPSS-TMQSS Series,AP2/CH 6A-MW100,Â± 0.5 Â°F,6/5/2024,6/5/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TC1,YOKOGAWA,MW100-SCPSS-TMQSS Series,AP2/CH 6A-MW100,Â± 0.5 Â°F,6/5/2024,6/5/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TC2,YOKOGAWA,MW100-SCPSS-TMQSS Series,AP2/CH 6A-MW100,Â± 0.5 Â°F,6/5/2024,6/5/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TC3,YOKOGAWA,MW100-SCPSS-TMQSS Series,AP2/CH 6A-MW100,Â± 0.5 Â°F,6/5/2024,6/5/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TC4,YOKOGAWA,MW100-SCPSS-TMQSS Series,AP2/CH 6A-MW100,Â± 0.5 Â°F,6/5/2024,6/5/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TC5,YOKOGAWA,MW100-SCPSS-TMQSS Series,AP2/CH 6A-MW100,Â± 0.5 Â°F,6/5/2024,6/5/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TC6,YOKOGAWA,MW100-SCPSS-TMQSS Series,AP2/CH 6A-MW100,Â± 0.5 Â°F,6/5/2024,6/5/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Water Flow Meter,EMERSON,CMFS040MB67N2BAE2ZZ,12184164,Â± 0.05 Â°F,2/3/2024,2/3/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Power Analyzer,Yokogawa,WT310E,C2VK21024V,Â±(0.1% of reading + 0.05 % of range),6/5/2024,6/5/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TC Data Logger,Agilent Technology,34972A,MY49001786,Â± 1.8 Â°F,6/5/2024,6/5/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RTD Inlet,JMS Southeast Inc,3SSDNK11.5BGL318HWRAX,AP2/RTD-6A IN,Â± 0.2 Â°F,6/8/2024,6/8/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RTD Outlet,JMS Southeast Inc,3SSDNK5BGL318HWRAX,AP2/RTD-6A OUT,Â± 0.2 Â°F,6/8/2024,6/8/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RTD Ambient,JMS Souttheast Inc,3SSDNK5BGL318HWRAX,AP2/RTD-6A AMB,Â± 0.2 Â°F,6/8/2025,6/8/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Manometer,Dwyer,477AV,AP2/02N2N2KF,Â±0.5% FS,5/1/2024,5/1/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gas Chromatograph,INFICON,Fusion MicroGC,N1LD349,± 2 BTU/cuft,Calibrated Daily,Calibrated Daily,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Weight Scale,AVERY WEIGH-TRONIX,ZM303,AP2/193150481,0.1 lb,8/13/2024,8/13/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAPE MEASURE,STANLEY,16 FEET,b047827,0.0625 in,5/18/2024,5/18/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Manometer,DWYER,477AV,AP2/02N2SC,±0.5% FS,2/23/2024,2/23/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
System Date,System Time,Elapsed Time (sec),Software Elapsed Time (sec),Voltage (V),RMS Current (Amps),Power (Watts),Watt Hours (Wh),Voltage Total Harmonic Distortion,Frequency (Hz),Apparent Power (VA),Power Factor,Current Crest Factor,Voltage Crest Factor,Integration Time (sec),Intellifaucet Valve (%),Intellifaucet Temperature (F),Proportioning Valve (%),Draw Count,Program Status,TC Tree Average,TC Down,RTD IN,RTD Out,RTD Ambient,Totalized Flow (Gallons),Flow Rate (GPM),Pressure - Port 1,Pressure - Port 2,Pressure - Port 3,Pressure - Port 4,Mass Flow Rate(lb/min),Density(lb/US Gal),Flow Meter Inlet Temperature(°F),Draw Weight(lbs),Total Weight Inventory(lbs),Total Gallons Inventory(US Gallon),Drive Gain (%),Raw Tube Frequency (Hz),Hot Flow Rate-Calculated(US GPM),Hot Gallons-Calculated(US Gallon),Hot Flow Rate-Laurel(US GPM),Hot Gallons-Laurel(US Gallon),T1,T2,T3,T4,T5,T6,UPPER ELEMENT,LOWER ELEMENT,COMPRESSOR,FAN,DLB,Heating Value BTU/ft³_Vol (Real_Dry),Heating Value BTU/ft³_Vol (Real_Sat),Gross Wobbe Index_Real (Dry),Relative Density_Real (Dry),Methane Component Normalized Mole % (Dry),Ethane Component Normalized Mole % (Dry),Propane Component Normalized Mole % (Dry),i-Butane Component Normalized Mole % (Dry),n-Butane Component Normalized Mole % (Dry),Nitrogen Component Normalized Mole % (Dry),Carbon Dioxide Component Normalized Mole % (Dry),i-Pentane Component Normalized Mole % (Dry),n-Pentane Component Normalized Mole % (Dry),Hexane Component Normalized Mole % (Dry),Heptane Component Normalized Mole % (Dry),Absolute Pressure [inHgA]-Alicat,Gauge/Diff. Pressure [inHgG]-Alicat,BarometricPressure [inHgA]-Alicat,Temperature [°F]-Alicat,Uncorrected [CFH]-Alicat,Corrected [SCFH]-Alicat,Totalizer [Sft3]-Alicat,Gas Selected-Alicat,Gas Rate (BTU/hr)-Alicat,Energy (BTU)-Alicat,Thermal Efficiency (%),Gas Flow Rate Uncorrected (L/hr)-Ritter,Totalized Flow Uncorrected (L)-Ritter,Gas Flow Rate Uncorrected (cuft/hr)-Ritter,Totalized Flow Uncorrected (cuft)-Ritter,Gas Temperature (°F) - Ritter,Gas Pressure (in WC) - Ritter,Barometric Pressure (in HG) - Heise,STP Correction Factor - Ritter,Temperature Correction Factor - Ritter,Pressure Correction Factor-Ritter,Water Vapor Pressure (in HG)-Ritter,Gas Flow Rate Corrected (cuft/hr)-Ritter,Totalized Flow Corrected (cuft)-Ritter,Gas Rate (BTU/hr)-Ritter,Energy (BTU)
7/16/2024,02:11.2,0,33.09,117.68,0.00006,0.0069,0.000078,0,60.02,0.007,0.9831,2.386935,1.39225,40,15.175,0,0,0, Select Test Sequence to Enable Start Button....,108.061111,58.92293,58.297958,120,68.699997,0,0,11.06,0.026,0.019,0,0,8.336121,60.368015,0,0,0,6.983441,151.866379,0,0,0,0,121.833336,111.766668,104.699997,103.599998,103.199997,103.266668,0,0,0,0,0,1068.639,1050.053,1386.271,0.594,92.357,6.891,0.379,0.039,0,0.319,0,0.009,0.005,0.001,0,30.17,0.84,29.335,69.88,0,0,60.133,NatG-1,0,64260.47862,,0,931.035,0,32.879222,68.599998,11.06,29.309,0.987807,0.98372,1.004154,0,0,32.478335,0,34707.62056
7/16/2024,02:13.2,0,35.09,117.7,0.00006,0.0069,0.000082,0,60.019,0.007,0.9828,2.182274,1.392014,42,15.175,0,0,0,Writing Data... Select Test Sequence to Enable Start Button....,108.055554,58.928403,58.299999,119.933334,68.699997,0,0,11.07,0.023,0.023,0,0,8.336424,60.33934,0,0,0,6.984137,151.866257,0,0,0,0,121.866669,111.699997,104.699997,103.599998,103.199997,103.266668,0,0,0,0,0,1068.639,1050.053,1386.271,0.594,92.357,6.891,0.379,0.039,0,0.319,0,0.009,0.005,0.001,0,30.17,0.83,29.336,69.88,0,0,60.133,NatG-1,0,64260.47862,,0,931.035,0,32.879222,68.599998,11.07,29.309,0.987831,0.98372,1.004179,0,0,32.47913,0,34708.47015
7/16/2024,02:16.2,0,38.09,117.69,0.00006,0.0069,0.000087,0,60.018,0.007,0.983,2.148829,1.391112,45,15.175,0,0,0,Writing Data... Select Test Sequence to Enable Start Button....,108.049999,58.937723,58.299999,119.866669,68.699997,0,0,11.06,0.02,0.026,0,0,8.336268,60.377464,0,0,0,6.984813,151.865891,0,0,0,0,121.900002,111.633331,104.699997,103.599998,103.199997,103.266668,0,0,0,0,0,1068.639,1050.053,1386.271,0.594,92.357,6.891,0.379,0.039,0,0.319,0,0.009,0.005,0.001,0,30.17,0.83,29.336,69.88,0,0,60.133,NatG-1,0,64260.47862,,0,931.035,0,32.879222,68.5,11.06,29.309,0.987994,0.983907,1.004154,0,0,32.484484,0,34714.19176
7/16/2024,02:19.2,0,41.09,117.73,0.023179,1.192,0.001144,0,60.018,2.729,0.437,1.817594,1.38962,48,15.175,0,0,0,Writing Data... Select Test Sequence to Enable Start Button....,108.044443,58.948521,58.299999,119.800003,68.699997,0,0,11.07,0.017,0.03,-0.001,0,8.336049,60.42128,0,0,0,6.983586,151.865601,0,0,0,0,121.900002,111.599998,104.699997,103.599998,103.199997,103.266668,0,0,0,0,0,1068.639,1050.053,1386.271,0.594,92.357,6.891,0.379,0.039,0,0.319,0,0.009,0.005,0.001,0,30.17,0.83,29.336,69.88,0,0,60.133,NatG-1,0,64260.47862,,0,931.035,0,32.879222,68.599998,11.07,29.309,0.987831,0.98372,1.004179,0,0,32.47913,0,34708.47015
7/16/2024,02:22.2,0,44.09,117.71,0.022756,1.06,0.002252,0,60.015,2.679,0.3959,1.85261,1.390026,51,15.175,0,0,0,Writing Data... Select Test Sequence to Enable Start Button....,108.044444,58.959764,58.299999,119.699997,68.699997,0,0,11.07,0.016,0.032,0,0,8.336241,60.40987,0,0,0,6.984484,151.865265,0,0,0,0,121.900002,111.599998,104.666664,103.599998,103.199997,103.300003,0,0,0,0,0,1068.639,1050.053,1386.271,0.594,92.357,6.891,0.379,0.039,0,0.319,0,0.009,0.005,0.001,0,30.17,0.83,29.336,69.88,0,0,60.133,NatG-1,0,64260.47862,,0,931.035,0,32.879222,68.599998,11.07,29.309,0.987831,0.98372,1.004179,0,0,32.47913,0,34708.47015
7/16/2024,02:25.2,0,47.09,117.75,0.023077,1.162,0.002859,0,60.013,2.717,0.4276,1.829354,1.392017,54,15.175,0,0,0,Writing Data... Select Test Sequence to Enable Start Button....,108.049999,58.971302,58.299999,119.699997,68.699997,0,0,11.06,0.018,0.033,0,0,8.336463,60.402382,0,0,0,6.984846,151.864944,0,0,0,0,121.900002,111.599998,104.699997,103.599998,103.199997,103.300003,0,0,0,0,0,1068.639,1050.053,1386.271,0.594,92.357,6.891,0.379,0.039,0,0.319,0,0.009,0.005,0.001,0,30.17,0.83,29.336,69.88,0,0,60.133,NatG-1,0,64260.47862,,0,931.035,0,32.879222,68.599998,11.06,29.309,0.987807,0.98372,1.004154,0,0,32.478335,0,34707.62056
7/16/2024,02:28.2,0,50.09,117.49,2.4061,120.6,0.13905,0,60.013,282.7,0.4268,1.572046,1.39297,57,15.175,0,0,0,Writing Data... Select Test Sequence to Enable Start Button....,108.027777,58.98284,58.299999,119.699997,68.699997,0,0,11.07,0.019,0.03,0,0,8.336019,60.475018,0,0,0,6.984582,151.864624,0,0,0,0,121.833336,111.599998,104.633331,103.599998,103.199997,103.300003,0,0,0,0,0,1068.639,1050.053,1386.271,0.594,92.357,6.891,0.379,0.039,0,0.319,0,0.009,0.005,0.001,0,30.17,0.83,29.337,69.88,0,0,60.133,NatG-1,0,64260.47862,,0,931.035,0,32.879222,68.599998,11.07,29.309,0.987831,0.98372,1.004179,0,0,32.47913,0,34708.47015
7/16/2024,02:31.2,0,53.09,117.41,2.3975,120,0.23935,0,60.014,281.5,0.4264,1.570553,1.391278,60,15.175,0,0,0,Writing Data... Select Test Sequence to Enable Start Button....,108.044444,58.994379,58.299999,119.699997,68.699997,0,0,11.07,0.024,0.027,0,0,8.335898,60.504852,0,0,0,6.985311,151.864288,0,0,0,0,121.900002,111.599998,104.666664,103.599998,103.199997,103.300003,0,0,0,0,0,1068.639,1050.053,1386.271,0.594,92.357,6.891,0.379,0.039,0,0.319,0,0.009,0.005,0.001,0,30.17,0.83,29.337,69.88,0,0,60.133,NatG-1,0,64260.47862,,0,931.035,0,32.879222,68.599998,11.07,29.309,0.987831,0.98372,1.004179,0,0,32.47913,0,34708.47015
7/16/2024,02:34.2,0,56.09,117.48,2.3985,120.2,0.33962,0,60.013,281.8,0.4266,1.570815,1.388832,63,15.175,0,0,0,Writing Data... Select Test Sequence to Enable Start Button....,108.033333,59.005917,58.299999,119.699997,68.699997,0,0,9.94,0.026,0.024,0,0,8.336006,60.508587,0,0,0,6.985442,151.864029,0,0,0,0,121.900002,111.533333,104.633331,103.599998,103.233332,103.300003,0,0,0,0,0,1068.639,1050.053,1386.271,0.594,92.357,6.891,0.379,0.039,0,0.319,0,0.009,0.005,0.001,0,30.07,0.74,29.335,69.88,0,0,60.133,NatG-1,0,64260.47862,,0,931.035,0,32.879222,68.599998,9.94,29.309,0.985099,0.98372,1.001401,0,0,32.389286,0,34612.45896
7/16/2024,02:37.2,0,59.09,117.43,2.3851,118.9,0.43953,0,60.011,280.1,0.4247,1.573687,1.389679,66,15.175,0,0,0,Writing Data... Select Test Sequence to Enable Start Button....,108,59.017455,58.299999,119.633331,68.699997,0,0,7.28,0.029,0.024,0,0,8.335958,60.527821,0,0,0,6.985559,151.863815,0,0,0,0,121.900002,111.366669,104.633331,103.599998,103.199997,103.300003,0,1,0,0,0,1068.639,1050.053,1386.271,0.594,92.357,6.891,0.379,0.039,0,0.319,0,0.009,0.005,0.001,0,29.96,0.63,29.337,69.83,37.988,37.236,60.159,NatG-1,39791.84777,64288.26324,,192,931.815,6.780422,32.906767,68.599998,7.28,29.309,0.978667,0.98372,0.994862,0,0.03888,32.204751,41.548902,34415.25858
7/16/2024,02:40.2,0,62.09,117.46,2.3828,118.7,0.53846,0,60.013,279.9,0.424,1.576465,1.391197,69,15.175,0,0,0,Writing Data... Select Test Sequence to Enable Start Button....,107.961111,59.028994,58.306122,119.633331,68.699997,0,0,7.31,0.032,0.019,0,0,8.335675,60.576324,0,0,0,6.985672,151.86351,0,0,0,0,121.800003,111.300003,104.599998,103.599998,103.199997,103.266668,0,1,0,0,0,1068.639,1050.053,1386.271,0.594,92.357,6.891,0.379,0.039,0,0.319,0,0.009,0.005,0.001,0,29.96,0.63,29.336,69.76,38.08,37.335,60.19,NatG-1,39897.64304,64321.39105,,564,932.745,19.917491,32.93961,68.599998,7.31,29.309,0.978739,0.98372,0.994936,0,0.455246,32.239283,486.493707,34452.16044
7/16/2024,02:43.2,0,65.1,117.45,2.3805,118.5,0.63726,0,60.012,279.6,0.4238,1.579542,1.392337,72,15.175,0,0,0,Writing Data... Select Test Sequence to Enable Start Button....,107.994445,59.04068,58.32449,119.599998,68.699997,0,0,7.31,0.038,0.015,0.001,0,8.336136,60.533897,0,0,0,6.9865,151.863266,0,0,0,0,121.800003,111.433334,104.599998,103.599998,103.233332,103.300003,0,1,0,0,0,1068.639,1050.053,1386.271,0.594,92.357,6.891,0.379,0.039,0,0.319,0,0.009,0.005,0.001,0,29.97,0.63,29.337,69.7,37.981,37.246,60.221,NatG-1,39802.53416,64354.51886,,930,933.66,32.842671,32.971923,68.5,7.31,29.309,0.978924,0.983907,0.994936,0,1.706018,32.277019,1823.117578,34492.48639
7/16/2024,02:46.2,0,68.1,117.41,2.3778,118.3,0.73593,0,60.008,279.2,0.4236,1.577971,1.393408,75,15.175,0,0,0,Writing Data... Select Test Sequence to Enable Start Button....,108.022222,59.053106,58.357143,119.599998,68.699997,0,0,7.3,0.041,0.012,0,0,8.336007,60.561371,0,0,0,6.986506,151.863083,0,0,0,0,121.800003,111.566666,104.599998,103.633331,103.233332,103.300003,0,1,0,0,0,1068.639,1050.053,1386.271,0.594,92.357,6.891,0.379,0.039,0,0.319,0,0.009,0.005,0.001,0,29.96,0.63,29.337,69.65,38.077,37.342,60.252,NatG-1,39905.12352,64387.64668,,1092,934.56,38.563652,33.003706,68.599998,7.3,29.309,0.978715,0.98372,0.994912,0,4.193036,32.301218,4480.842651,34518.34699
7/16/2024,02:49.2,0,71.1,117.46,2.3787,118.2,0.8345,0,60.007,279.4,0.4231,1.576365,1.392815,78,15.175,0,0,0,Writing Data... Select Test Sequence to Enable Start Button....,108.061111,59.066271,58.383675,119.533333,68.699997,0,0,7.3,0.042,0.012,0,0,8.335988,60.577229,0,0,0,6.987378,151.862732,0,0,0,0,121.800003,111.733332,104.633331,103.633331,103.266668,103.300003,0,1,0,0,0,1068.639,1050.053,1386.271,0.594,92.357,6.891,0.379,0.039,0,0.319,0,0.009,0.005,0.001,0,29.96,0.63,29.337,69.61,38.064,37.332,60.283,NatG-1,39894.43713,64420.77449,,1086,935.475,38.351764,33.036019,68.599998,7.3,29.309,0.978715,0.98372,0.994912,0,8.01103,32.332844,8560.900391,34552.14288
7/16/2024,02:52.2,0,74.1,117.44,2.3764,118.1,0.93301,0,60.004,279.1,0.4231,1.575997,1.391093,81,15.175,0,0,0,Writing Data... Select Test Sequence to Enable Start Button....,108.066667,59.079585,58.39592,119.5,68.699997,0,0,7.28,0.043,0.007,0,0,8.336104,60.575226,0,0,0,6.986154,151.862518,0,0,0,0,121.800003,111.866669,104.633331,103.599998,103.199997,103.300003,0,1,0,0,0,1068.639,1050.053,1386.271,0.594,92.357,6.891,0.379,0.039,0,0.319,0,0.009,0.005,0.001,0,29.96,0.63,29.337,69.57,38.1,37.372,60.314,NatG-1,39937.18269,64453.90231,,1098,936.405,38.775541,33.068862,68.599998,7.28,29.31,0.978699,0.98372,0.994896,0,13.141446,32.364472,14043.46419,34585.94247
7/16/2024,02:55.2,0,77.1,117.45,2.3752,118,1.0314,0,60.004,279,0.4228,1.578436,1.391315,84,15.175,0,0,0,Writing Data... Select Test Sequence to Enable Start Button....,108.072223,59.092899,58.400002,119.433334,68.699997,0,0,7.32,0.044,0.006,-0.001,0,8.336155,60.582397,0,0,0,6.987937,151.862305,0,0,0,0,121.800003,111.833336,104.666664,103.599998,103.233332,103.300003,0,1,0,0,0,1068.639,1050.053,1386.271,0.594,92.357,6.891,0.379,0.039,0,0.319,0,0.009,0.005,0.001,0,29.96,0.63,29.335,69.55,38.097,37.372,60.346,NatG-1,39937.18269,64488.09876,,1098,937.305,38.775541,33.100645,68.599998,7.32,29.31,0.978796,0.98372,0.994994,0,19.138803,32.39878,20452.47431,34622.60531
7/16/2024,02:58.2,0,80.1,117.43,2.3734,117.9,1.1297,0,60.003,278.7,0.423,1.575672,1.39019,87,15.175,0,0,0,Writing Data... Select Test Sequence to Enable Start Button....,108.027777,59.106212,58.400002,119.400002,68.699997,0,0,7.31,0.044,0.008,0,0,8.335966,60.616207,0,0,0,6.986359,151.862015,0,0,0,0,121.733332,111.733332,104.599998,103.599998,103.199997,103.300003,0,1,0,0,0,1068.639,1050.053,1386.271,0.594,92.357,6.891,0.379,0.039,0,0.319,0,0.009,0.005,0.001,0,29.97,0.63,29.338,69.52,38.127,37.398,60.377,NatG-1,39964.96731,64521.22657,,1098,938.22,38.775541,33.132958,68.599998,7.31,29.31,0.978772,0.98372,0.99497,0,25.10222,32.429607,26825.21522,34655.54777
7/16/2024,03:01.2,0,83.1,117.42,2.3722,117.8,1.228,0,60.002,278.6,0.4229,1.578029,1.390649,90,15.175,0,0,0,Writing Data... Select Test Sequence to Enable Start Button....,108.027778,59.119526,58.400002,119.400002,68.699997,0,0,7.29,0.043,0.005,0,0,8.335975,60.627289,0,0,0,6.987218,151.862,0,0,0,0,121.800003,111.599998,104.633331,103.599998,103.233332,103.300003,0,1,0,0,0,1068.639,1050.053,1386.271,0.594,92.357,6.891,0.379,0.039,0,0.319,0,0.009,0.005,0.001,0,29.97,0.63,29.336,69.51,38.13,37.408,60.408,NatG-1,39975.6537,64554.35439,,1098,939.15,38.775541,33.165801,68.5,7.29,29.31,0.978909,0.983907,0.99492,0,30.148607,32.466294,32217.98179,34694.75309
