(10/13/2015 4:29:37 PM) INFO - Making report for: 1130, try 1. 
(10/19/2015 1:16:58 PM) INFO - Making report for: 1218, try 1. 
(10/19/2015 1:17:09 PM) INFO - Making report for: 1218, try 1. 
(10/19/2015 1:17:20 PM) INFO - Making report for: 1218, try 1. 
(10/19/2015 1:17:30 PM) INFO - Making report for: 1218, try 1. 
(10/19/2015 1:17:41 PM) INFO - Making report for: 1218, try 1. 
(10/19/2015 1:17:52 PM) INFO - Making report for: 1218, try 1. 
(10/19/2015 1:18:03 PM) INFO - Making report for: 1218, try 1. 
(10/19/2015 1:18:14 PM) INFO - Making report for: 1218, try 1. 
(10/19/2015 1:18:24 PM) INFO - Making report for: 1218, try 1. 
(10/19/2015 1:18:35 PM) INFO - Making report for: 1218, try 1. 
(10/19/2015 1:18:46 PM) INFO - Making report for: 1218, try 1. 
(10/19/2015 1:18:57 PM) INFO - Making report for: 1218, try 1. 
(10/19/2015 1:19:08 PM) INFO - Making report for: 1218, try 1. 
(10/19/2015 1:19:18 PM) INFO - Making report for: 1218, try 1. 
(10/19/2015 1:19:29 PM) INFO - Making report for: 1218, try 1. 
(10/19/2015 1:19:40 PM) INFO - Making report for: 1218, try 1. 
(10/19/2015 1:19:51 PM) INFO - Making report for: 1218, try 1. 
(10/19/2015 1:20:02 PM) INFO - Making report for: 1218, try 1. 
(10/19/2015 1:20:12 PM) INFO - Making report for: 1218, try 1. 
(10/19/2015 1:20:23 PM) INFO - Making report for: 1218, try 1. 
(10/19/2015 1:20:34 PM) INFO - Making report for: 1218, try 1. 
(10/19/2015 1:20:45 PM) INFO - Making report for: 1218, try 1. 
(10/19/2015 1:20:56 PM) INFO - Making report for: 1218, try 1. 
(10/19/2015 1:21:06 PM) INFO - Making report for: 1218, try 1. 
(10/19/2015 1:21:17 PM) INFO - Making report for: 1218, try 1. 
(10/19/2015 1:21:28 PM) INFO - Making report for: 1218, try 1. 
(10/19/2015 1:21:39 PM) INFO - Making report for: 1218, try 1. 
(10/19/2015 1:21:50 PM) INFO - Making report for: 1218, try 1. 
(10/19/2015 1:22:00 PM) INFO - Making report for: 1218, try 1. 
(10/19/2015 1:22:11 PM) INFO - Making report for: 1218, try 1. 
(10/19/2015 1:22:22 PM) INFO - Making report for: 1218, try 1. 
(10/19/2015 1:22:33 PM) INFO - Making report for: 1218, try 1. 
(10/19/2015 1:22:43 PM) INFO - Making report for: 1218, try 1. 
(10/19/2015 1:22:54 PM) INFO - Making report for: 1218, try 1. 
(10/19/2015 1:23:05 PM) INFO - Making report for: 1218, try 1. 
(10/19/2015 1:23:16 PM) INFO - Making report for: 1218, try 1. 
(10/19/2015 1:23:27 PM) INFO - Making report for: 1218, try 1. 
(10/19/2015 1:23:37 PM) INFO - Making report for: 1218, try 1. 
(10/19/2015 1:23:48 PM) INFO - Making report for: 1218, try 1. 
(10/19/2015 1:23:59 PM) INFO - Making report for: 1218, try 1. 
(10/19/2015 1:24:10 PM) INFO - Making report for: 1218, try 1. 
(10/19/2015 1:24:21 PM) INFO - Making report for: 1218, try 1. 
(10/19/2015 1:24:31 PM) INFO - Making report for: 1218, try 1. 
(10/19/2015 1:24:42 PM) INFO - Making report for: 1218, try 1. 
(10/19/2015 1:24:53 PM) INFO - Making report for: 1218, try 1. 
(10/19/2015 1:25:04 PM) INFO - Making report for: 1218, try 1. 
(10/19/2015 1:25:15 PM) INFO - Making report for: 1218, try 1. 
(10/19/2015 1:25:25 PM) INFO - Making report for: 1218, try 1. 
(10/19/2015 1:25:36 PM) INFO - Making report for: 1218, try 1. 
(10/19/2015 1:25:47 PM) INFO - Making report for: 1218, try 1. 
(10/19/2015 1:25:58 PM) INFO - Making report for: 1218, try 1. 
(10/19/2015 1:26:09 PM) INFO - Making report for: 1218, try 1. 
(10/19/2015 1:26:19 PM) INFO - Making report for: 1218, try 1. 
(10/19/2015 1:26:30 PM) INFO - Making report for: 1218, try 1. 
(10/19/2015 1:26:41 PM) INFO - Making report for: 1218, try 1. 
(10/19/2015 1:26:52 PM) INFO - Making report for: 1218, try 1. 
(10/19/2015 1:27:02 PM) INFO - Making report for: 1218, try 1. 
(10/19/2015 1:27:13 PM) INFO - Making report for: 1218, try 1. 
(10/19/2015 1:27:24 PM) INFO - Making report for: 1218, try 1. 
(10/19/2015 1:27:35 PM) INFO - Making report for: 1218, try 1. 
(10/19/2015 1:27:46 PM) INFO - Making report for: 1218, try 1. 
(10/19/2015 1:27:56 PM) INFO - Making report for: 1218, try 1. 
(10/19/2015 1:28:07 PM) INFO - Making report for: 1218, try 1. 
(10/19/2015 1:28:18 PM) INFO - Making report for: 1218, try 1. 
(10/19/2015 1:28:29 PM) INFO - Making report for: 1218, try 1. 
(10/19/2015 1:28:40 PM) INFO - Making report for: 1218, try 1. 
(10/19/2015 1:28:50 PM) INFO - Making report for: 1218, try 1. 
(10/19/2015 1:29:01 PM) INFO - Making report for: 1218, try 1. 
(10/19/2015 1:29:12 PM) INFO - Making report for: 1218, try 1. 
(10/19/2015 1:29:23 PM) INFO - Making report for: 1218, try 1. 
(10/19/2015 1:29:34 PM) INFO - Making report for: 1218, try 1. 
(10/19/2015 1:29:44 PM) INFO - Making report for: 1218, try 1. 
(10/19/2015 1:29:55 PM) INFO - Making report for: 1218, try 1. 
(10/19/2015 1:30:06 PM) INFO - Making report for: 1218, try 1. 
(10/19/2015 1:30:17 PM) INFO - Making report for: 1218, try 1. 
(10/19/2015 1:30:28 PM) INFO - Making report for: 1218, try 1. 
(10/19/2015 1:30:39 PM) INFO - Making report for: 1218, try 1. 
(10/19/2015 1:30:49 PM) INFO - Making report for: 1218, try 1. 
(10/19/2015 1:31:00 PM) INFO - Making report for: 1218, try 1. 
(10/19/2015 1:31:11 PM) INFO - Making report for: 1218, try 1. 
(10/19/2015 1:31:22 PM) INFO - Making report for: 1218, try 1. 
(10/19/2015 1:31:33 PM) INFO - Making report for: 1218, try 1. 
(10/19/2015 1:31:43 PM) INFO - Making report for: 1218, try 1. 
(10/19/2015 1:31:54 PM) INFO - Making report for: 1218, try 1. 
(10/19/2015 1:32:05 PM) INFO - Making report for: 1218, try 1. 
(10/19/2015 1:32:16 PM) INFO - Making report for: 1218, try 1. 
(10/19/2015 1:32:27 PM) INFO - Making report for: 1218, try 1. 
(10/19/2015 1:32:38 PM) INFO - Making report for: 1218, try 1. 
(10/19/2015 1:32:48 PM) INFO - Making report for: 1218, try 1. 
(10/19/2015 1:32:59 PM) INFO - Making report for: 1218, try 1. 
(10/19/2015 1:33:10 PM) INFO - Making report for: 1218, try 1. 
(10/19/2015 1:33:21 PM) INFO - Making report for: 1218, try 1. 
(10/19/2015 1:33:32 PM) INFO - Making report for: 1218, try 1. 
(10/19/2015 1:33:42 PM) INFO - Making report for: 1218, try 1. 
(10/19/2015 1:33:53 PM) INFO - Making report for: 1218, try 1. 
(10/19/2015 1:34:04 PM) INFO - Making report for: 1218, try 1. 
(10/19/2015 1:34:15 PM) INFO - Making report for: 1218, try 1. 
(10/19/2015 1:34:26 PM) INFO - Making report for: 1218, try 1. 
(10/19/2015 1:34:36 PM) INFO - Making report for: 1218, try 1. 
(10/19/2015 1:34:47 PM) INFO - Making report for: 1218, try 1. 
(10/19/2015 1:34:58 PM) INFO - Making report for: 1218, try 1. 
(10/19/2015 1:35:18 PM) INFO - Making report for: 1218, try 1. 
(10/19/2015 1:35:29 PM) INFO - Making report for: 1218, try 1. 
(10/19/2015 1:35:40 PM) INFO - Making report for: 1218, try 1. 
(10/19/2015 1:35:51 PM) INFO - Making report for: 1218, try 1. 
(10/19/2015 1:36:02 PM) INFO - Making report for: 1218, try 1. 
(10/19/2015 1:36:13 PM) INFO - Making report for: 1218, try 1. 
(10/19/2015 1:36:23 PM) INFO - Making report for: 1218, try 1. 
(10/19/2015 1:36:34 PM) INFO - Making report for: 1218, try 1. 
(10/19/2015 1:36:45 PM) INFO - Making report for: 1218, try 1. 
(10/19/2015 1:36:56 PM) INFO - Making report for: 1218, try 1. 
(10/19/2015 1:37:07 PM) INFO - Making report for: 1218, try 1. 
(10/19/2015 1:37:17 PM) INFO - Making report for: 1218, try 1. 
(10/19/2015 1:37:28 PM) INFO - Making report for: 1218, try 1. 
(10/19/2015 1:37:39 PM) INFO - Making report for: 1218, try 1. 
(10/19/2015 1:37:50 PM) INFO - Making report for: 1218, try 1. 
(10/19/2015 1:38:01 PM) INFO - Making report for: 1218, try 1. 
(10/19/2015 1:38:11 PM) INFO - Making report for: 1218, try 1. 
(10/19/2015 1:38:22 PM) INFO - Making report for: 1218, try 1. 
(10/19/2015 1:38:33 PM) INFO - Making report for: 1218, try 1. 
(10/19/2015 1:38:44 PM) INFO - Making report for: 1218, try 1. 
(10/19/2015 1:38:55 PM) INFO - Making report for: 1218, try 1. 
(10/19/2015 1:39:06 PM) INFO - Making report for: 1218, try 1. 
(10/19/2015 1:39:16 PM) INFO - Making report for: 1218, try 1. 
(10/19/2015 1:39:27 PM) INFO - Making report for: 1218, try 1. 
(10/19/2015 1:39:38 PM) INFO - Making report for: 1218, try 1. 
(10/19/2015 1:39:49 PM) INFO - Making report for: 1218, try 1. 
(10/19/2015 1:40:00 PM) INFO - Making report for: 1218, try 1. 
(10/19/2015 1:40:10 PM) INFO - Making report for: 1218, try 1. 
(10/19/2015 1:40:21 PM) INFO - Making report for: 1218, try 1. 
(10/19/2015 1:40:32 PM) INFO - Making report for: 1218, try 1. 
(10/19/2015 1:40:43 PM) INFO - Making report for: 1218, try 1. 
(10/19/2015 1:43:04 PM) INFO - Making report for: 1218, try 1. 
(10/19/2015 1:43:14 PM) INFO - Making report for: 1218, try 2. 
(10/19/2015 1:43:25 PM) INFO - Making report for: 1218, try 3. 
(10/19/2015 1:43:36 PM) INFO - Making report for: 1218, try 4. 
(10/20/2015 3:31:27 PM) INFO - Making report for: 1227, try 1. 
(10/21/2015 8:36:55 AM) INFO - Making report for: 1234, try 1. 
(10/21/2015 8:37:12 AM) INFO - Making report for: 1233, try 1. 
(10/21/2015 8:37:19 AM) INFO - Making report for: 1232, try 1. 
(10/21/2015 8:37:25 AM) INFO - Making report for: 1231, try 1. 
(10/21/2015 8:37:42 AM) INFO - Making report for: 1230, try 1. 
(10/21/2015 8:37:49 AM) INFO - Making report for: 1229, try 1. 
(10/21/2015 8:37:56 AM) INFO - Making report for: 1228, try 1. 
(10/21/2015 8:38:03 AM) INFO - Making report for: 1235, try 1. 
(10/21/2015 4:55:00 PM) INFO - Making report for: 1236, try 1. 
(10/21/2015 4:55:17 PM) INFO - Making report for: 1237, try 1. 
(10/21/2015 4:55:34 PM) INFO - Making report for: 1238, try 1. 
(10/21/2015 4:55:49 PM) INFO - Making report for: 1239, try 1. 
(10/21/2015 4:55:56 PM) INFO - Making report for: 1240, try 1. 
(10/21/2015 4:56:12 PM) INFO - Making report for: 1241, try 1. 
(10/21/2015 4:56:19 PM) INFO - Making report for: 1242, try 1. 
(10/21/2015 4:56:35 PM) INFO - Making report for: 1243, try 1. 
(10/22/2015 10:45:02 AM) INFO - Making report for: 1253, try 1. 
(10/22/2015 2:48:39 PM) INFO - Making report for: 1250, try 1. 
(10/22/2015 2:50:36 PM) INFO - Making report for: 1249, try 1. 
(10/22/2015 2:55:03 PM) INFO - Making report for: 1248, try 1. 
(10/22/2015 3:03:00 PM) INFO - Making report for: 1247, try 1. 
(10/22/2015 3:04:07 PM) INFO - Making report for: 1246, try 1. 
(10/22/2015 3:06:53 PM) INFO - Making report for: 1245, try 1. 
(10/22/2015 3:08:00 PM) INFO - Making report for: 1244, try 1. 
(10/24/2015 7:12:28 AM) INFO - Making report for: 1275, try 1. 
(10/24/2015 7:17:36 AM) INFO - Making report for: 1274, try 1. 
(10/24/2015 7:37:24 AM) INFO - Making report for: 1279, try 1. 
(10/24/2015 8:15:42 AM) INFO - Making report for: 1277, try 1. 
(10/24/2015 8:46:19 AM) INFO - Making report for: 1278, try 1. 
(10/24/2015 8:54:17 AM) INFO - Making report for: 1272, try 1. 
(10/24/2015 10:01:45 AM) INFO - Making report for: 1273, try 1. 
(10/24/2015 10:22:53 AM) INFO - Making report for: 1276, try 1. 
(10/26/2015 9:55:31 AM) INFO - Making report for: 1298, try 1. 
(10/26/2015 10:07:39 AM) INFO - Making report for: 1299, try 1. 
(10/26/2015 12:04:17 PM) INFO - Making report for: 1300, try 1. 
(10/26/2015 12:11:55 PM) INFO - Making report for: 1301, try 1. 
(10/26/2015 12:25:33 PM) INFO - Making report for: 1296, try 1. 
(10/26/2015 1:03:21 PM) INFO - Making report for: 1302, try 1. 
(10/26/2015 1:03:32 PM) INFO - Making report for: 1302, try 1. 
(10/26/2015 1:03:43 PM) INFO - Making report for: 1302, try 1. 
(10/26/2015 1:03:54 PM) INFO - Making report for: 1302, try 1. 
(10/26/2015 1:04:05 PM) INFO - Making report for: 1302, try 1. 
(10/26/2015 1:04:15 PM) INFO - Making report for: 1302, try 1. 
(10/26/2015 1:04:26 PM) INFO - Making report for: 1302, try 1. 
(10/26/2015 1:04:37 PM) INFO - Making report for: 1302, try 1. 
(10/26/2015 1:04:48 PM) INFO - Making report for: 1302, try 1. 
(10/26/2015 1:04:59 PM) INFO - Making report for: 1302, try 1. 
(10/26/2015 1:05:10 PM) INFO - Making report for: 1302, try 1. 
(10/26/2015 1:05:21 PM) INFO - Making report for: 1302, try 1. 
(10/26/2015 1:05:32 PM) INFO - Making report for: 1302, try 1. 
(10/26/2015 1:05:43 PM) INFO - Making report for: 1302, try 1. 
(10/26/2015 1:05:54 PM) INFO - Making report for: 1302, try 1. 
(10/26/2015 1:06:05 PM) INFO - Making report for: 1302, try 1. 
(10/26/2015 1:06:16 PM) INFO - Making report for: 1302, try 1. 
(10/26/2015 1:06:27 PM) INFO - Making report for: 1302, try 1. 
(10/26/2015 1:06:38 PM) INFO - Making report for: 1302, try 1. 
(10/26/2015 1:06:49 PM) INFO - Making report for: 1302, try 1. 
(10/26/2015 1:07:00 PM) INFO - Making report for: 1302, try 1. 
(10/26/2015 1:07:11 PM) INFO - Making report for: 1302, try 1. 
(10/26/2015 1:07:22 PM) INFO - Making report for: 1302, try 1. 
(10/26/2015 1:07:33 PM) INFO - Making report for: 1302, try 1. 
(10/26/2015 1:07:44 PM) INFO - Making report for: 1302, try 1. 
(10/26/2015 1:07:55 PM) INFO - Making report for: 1302, try 1. 
(10/26/2015 1:08:06 PM) INFO - Making report for: 1302, try 1. 
(10/26/2015 1:08:17 PM) INFO - Making report for: 1302, try 1. 
(10/26/2015 1:08:28 PM) INFO - Making report for: 1302, try 1. 
(10/26/2015 1:08:39 PM) INFO - Making report for: 1302, try 1. 
(10/26/2015 1:08:50 PM) INFO - Making report for: 1302, try 1. 
(10/26/2015 1:09:00 PM) INFO - Making report for: 1302, try 1. 
(10/26/2015 1:09:11 PM) INFO - Making report for: 1302, try 1. 
(10/26/2015 1:09:22 PM) INFO - Making report for: 1302, try 1. 
(10/26/2015 1:09:33 PM) INFO - Making report for: 1302, try 1. 
(10/26/2015 1:09:44 PM) INFO - Making report for: 1302, try 1. 
(10/26/2015 1:09:55 PM) INFO - Making report for: 1302, try 1. 
(10/26/2015 1:10:06 PM) INFO - Making report for: 1302, try 1. 
(10/26/2015 1:10:17 PM) INFO - Making report for: 1302, try 1. 
(10/26/2015 1:10:28 PM) INFO - Making report for: 1302, try 1. 
(10/26/2015 1:10:39 PM) INFO - Making report for: 1302, try 1. 
(10/26/2015 1:10:50 PM) INFO - Making report for: 1302, try 1. 
(10/26/2015 1:11:01 PM) INFO - Making report for: 1302, try 1. 
(10/26/2015 1:11:12 PM) INFO - Making report for: 1302, try 1. 
(10/26/2015 1:11:23 PM) INFO - Making report for: 1302, try 1. 
(10/26/2015 1:11:34 PM) INFO - Making report for: 1302, try 1. 
(10/26/2015 1:11:45 PM) INFO - Making report for: 1302, try 1. 
(10/26/2015 1:11:56 PM) INFO - Making report for: 1302, try 1. 
(10/26/2015 1:12:07 PM) INFO - Making report for: 1302, try 1. 
(10/26/2015 1:12:18 PM) INFO - Making report for: 1302, try 1. 
(10/26/2015 1:12:29 PM) INFO - Making report for: 1302, try 1. 
(10/26/2015 1:12:40 PM) INFO - Making report for: 1302, try 1. 
(10/26/2015 1:12:51 PM) INFO - Making report for: 1302, try 1. 
(10/26/2015 1:13:02 PM) INFO - Making report for: 1302, try 1. 
(10/26/2015 1:13:13 PM) INFO - Making report for: 1302, try 1. 
(10/26/2015 1:13:24 PM) INFO - Making report for: 1302, try 1. 
(10/26/2015 1:13:35 PM) INFO - Making report for: 1302, try 1. 
(10/26/2015 1:13:46 PM) INFO - Making report for: 1302, try 1. 
(10/26/2015 1:13:56 PM) INFO - Making report for: 1302, try 1. 
(10/26/2015 1:14:07 PM) INFO - Making report for: 1302, try 1. 
(10/26/2015 1:14:18 PM) INFO - Making report for: 1302, try 1. 
(10/26/2015 1:14:29 PM) INFO - Making report for: 1302, try 1. 
(10/26/2015 1:14:40 PM) INFO - Making report for: 1302, try 1. 
(10/26/2015 1:14:51 PM) INFO - Making report for: 1302, try 1. 
(10/26/2015 1:15:02 PM) INFO - Making report for: 1302, try 1. 
(10/26/2015 1:15:13 PM) INFO - Making report for: 1302, try 1. 
(10/26/2015 1:15:24 PM) INFO - Making report for: 1302, try 1. 
(10/26/2015 1:15:35 PM) INFO - Making report for: 1302, try 1. 
(10/26/2015 1:15:46 PM) INFO - Making report for: 1302, try 1. 
(10/26/2015 1:15:57 PM) INFO - Making report for: 1302, try 1. 
(10/26/2015 1:16:08 PM) INFO - Making report for: 1302, try 1. 
(10/26/2015 1:16:19 PM) INFO - Making report for: 1302, try 1. 
(10/26/2015 1:16:30 PM) INFO - Making report for: 1302, try 1. 
(10/26/2015 1:16:41 PM) INFO - Making report for: 1302, try 1. 
(10/26/2015 1:16:52 PM) INFO - Making report for: 1302, try 1. 
(10/26/2015 1:17:03 PM) INFO - Making report for: 1302, try 1. 
(10/26/2015 1:17:14 PM) INFO - Making report for: 1302, try 1. 
(10/26/2015 1:17:25 PM) INFO - Making report for: 1302, try 1. 
(10/26/2015 1:17:36 PM) INFO - Making report for: 1302, try 1. 
(10/26/2015 1:17:47 PM) INFO - Making report for: 1302, try 1. 
(10/26/2015 1:17:58 PM) INFO - Making report for: 1302, try 1. 
(10/26/2015 1:18:09 PM) INFO - Making report for: 1302, try 1. 
(10/26/2015 1:18:20 PM) INFO - Making report for: 1302, try 1. 
(10/26/2015 1:18:31 PM) INFO - Making report for: 1302, try 1. 
(10/26/2015 1:18:42 PM) INFO - Making report for: 1302, try 1. 
(10/26/2015 1:18:53 PM) INFO - Making report for: 1302, try 1. 
(10/26/2015 1:19:04 PM) INFO - Making report for: 1302, try 1. 
(10/26/2015 1:19:15 PM) INFO - Making report for: 1302, try 1. 
(10/26/2015 1:19:25 PM) INFO - Making report for: 1302, try 1. 
(10/26/2015 1:19:36 PM) INFO - Making report for: 1302, try 1. 
(10/26/2015 1:19:47 PM) INFO - Making report for: 1302, try 1. 
(10/26/2015 1:19:58 PM) INFO - Making report for: 1302, try 1. 
(10/26/2015 1:20:09 PM) INFO - Making report for: 1302, try 1. 
(10/26/2015 1:20:20 PM) INFO - Making report for: 1302, try 1. 
(10/26/2015 1:20:31 PM) INFO - Making report for: 1302, try 1. 
(10/26/2015 1:20:42 PM) INFO - Making report for: 1302, try 1. 
(10/26/2015 1:20:53 PM) INFO - Making report for: 1302, try 1. 
(10/26/2015 1:21:04 PM) INFO - Making report for: 1302, try 1. 
(10/26/2015 1:21:15 PM) INFO - Making report for: 1302, try 1. 
(10/26/2015 1:21:26 PM) INFO - Making report for: 1302, try 1. 
(10/26/2015 1:21:37 PM) INFO - Making report for: 1302, try 1. 
(10/26/2015 1:21:48 PM) INFO - Making report for: 1302, try 1. 
(10/26/2015 1:21:59 PM) INFO - Making report for: 1302, try 1. 
(10/26/2015 1:22:10 PM) INFO - Making report for: 1302, try 1. 
(10/26/2015 1:22:21 PM) INFO - Making report for: 1302, try 1. 
(10/26/2015 1:22:32 PM) INFO - Making report for: 1302, try 1. 
(10/26/2015 1:22:43 PM) INFO - Making report for: 1302, try 1. 
(10/26/2015 1:22:54 PM) INFO - Making report for: 1302, try 1. 
(10/26/2015 1:23:05 PM) INFO - Making report for: 1302, try 1. 
(10/26/2015 1:23:16 PM) INFO - Making report for: 1302, try 1. 
(10/26/2015 1:23:27 PM) INFO - Making report for: 1302, try 1. 
(10/26/2015 1:23:38 PM) INFO - Making report for: 1302, try 1. 
(10/26/2015 1:23:49 PM) INFO - Making report for: 1302, try 1. 
(10/26/2015 1:24:00 PM) INFO - Making report for: 1302, try 1. 
(10/26/2015 1:24:11 PM) INFO - Making report for: 1302, try 1. 
(10/26/2015 1:24:22 PM) INFO - Making report for: 1302, try 1. 
(10/26/2015 1:24:33 PM) INFO - Making report for: 1302, try 1. 
(10/26/2015 1:24:43 PM) INFO - Making report for: 1302, try 1. 
(10/26/2015 1:24:54 PM) INFO - Making report for: 1302, try 1. 
(10/26/2015 1:25:05 PM) INFO - Making report for: 1302, try 1. 
(10/26/2015 1:25:16 PM) INFO - Making report for: 1302, try 1. 
(10/26/2015 1:25:27 PM) INFO - Making report for: 1302, try 1. 
(10/26/2015 1:25:38 PM) INFO - Making report for: 1302, try 1. 
(10/26/2015 1:25:49 PM) INFO - Making report for: 1302, try 1. 
(10/26/2015 1:26:00 PM) INFO - Making report for: 1302, try 1. 
(10/26/2015 1:26:11 PM) INFO - Making report for: 1302, try 1. 
(10/26/2015 1:26:22 PM) INFO - Making report for: 1302, try 1. 
(10/26/2015 1:26:33 PM) INFO - Making report for: 1302, try 1. 
(10/26/2015 1:26:44 PM) INFO - Making report for: 1302, try 1. 
(10/26/2015 1:26:55 PM) INFO - Making report for: 1302, try 1. 
(10/26/2015 1:27:06 PM) INFO - Making report for: 1302, try 1. 
(10/26/2015 1:27:17 PM) INFO - Making report for: 1302, try 1. 
(10/26/2015 1:27:28 PM) INFO - Making report for: 1302, try 1. 
(10/26/2015 1:27:39 PM) INFO - Making report for: 1302, try 1. 
(10/26/2015 1:27:50 PM) INFO - Making report for: 1302, try 1. 
(10/26/2015 1:28:01 PM) INFO - Making report for: 1302, try 1. 
(10/26/2015 1:28:12 PM) INFO - Making report for: 1302, try 1. 
(10/26/2015 1:28:23 PM) INFO - Making report for: 1302, try 1. 
(10/26/2015 1:28:34 PM) INFO - Making report for: 1302, try 1. 
(10/26/2015 1:28:45 PM) INFO - Making report for: 1302, try 1. 
(10/26/2015 1:28:56 PM) INFO - Making report for: 1302, try 1. 
(10/26/2015 1:29:07 PM) INFO - Making report for: 1302, try 1. 
(10/26/2015 1:29:18 PM) INFO - Making report for: 1302, try 1. 
(10/26/2015 1:29:29 PM) INFO - Making report for: 1302, try 1. 
(10/26/2015 1:29:40 PM) INFO - Making report for: 1302, try 1. 
(10/26/2015 1:29:51 PM) INFO - Making report for: 1302, try 1. 
(10/26/2015 1:30:02 PM) INFO - Making report for: 1302, try 1. 
(10/26/2015 1:30:13 PM) INFO - Making report for: 1302, try 1. 
(10/26/2015 1:30:24 PM) INFO - Making report for: 1302, try 1. 
(10/26/2015 1:30:35 PM) INFO - Making report for: 1302, try 1. 
(10/26/2015 1:30:45 PM) INFO - Making report for: 1302, try 1. 
(10/26/2015 1:30:56 PM) INFO - Making report for: 1302, try 1. 
(10/26/2015 1:31:07 PM) INFO - Making report for: 1302, try 1. 
(10/26/2015 1:31:18 PM) INFO - Making report for: 1302, try 1. 
(10/26/2015 1:31:29 PM) INFO - Making report for: 1302, try 1. 
(10/26/2015 1:31:40 PM) INFO - Making report for: 1302, try 1. 
(10/26/2015 1:31:51 PM) INFO - Making report for: 1302, try 1. 
(10/26/2015 1:32:02 PM) INFO - Making report for: 1302, try 1. 
(10/26/2015 1:32:13 PM) INFO - Making report for: 1302, try 1. 
